second,mode,score,dtlb_mpki,llc_mpki,pf_rate,work_ms,ops_per_sec,thp_state,switch_event
1,off,0.6601827474134597,10.062483280971867,5.427995168787595,3.672430229065478,23.881509819543663,72988.8331505144,THP_OFF,0
2,off,0.6624804649037043,10.63959040957132,5.735264232884598,2.8648288622384,18.613346416391952,73107.7306538605,THP_OFF,0
3,off,0.6602000708161246,9.103540631636454,5.623536697819318,2.941748005596238,20.689478880481243,74458.27952446691,THP_OFF,0
4,off,0.6458399311558215,10.496457036789261,5.095939991334672,2.7662147058681965,22.43350698098004,76945.06482653212,THP_OFF,0
5,off,0.6286639000235154,7.8,4.683681295559458,3.6107801451793495,20.486443439476194,77103.7609655429,THP_OFF,0
6,off,0.6388162065327112,9.248507523408643,4.8311821399359065,2.7054979551470315,21.17020426981383,72101.87642635022,THP_OFF,0
7,off,0.6813726072451594,8.825153981857232,6.383910685901271,3.2662260146441264,21.234988701298334,75642.19429546714,THP_OFF,0
8,off,0.6360504704436555,9.499550312853692,4.776428435955147,2.495963931716528,19.19158103019028,72478.80241749309,THP_OFF,0
9,off,0.6568097704137159,9.078171281113919,5.453119736805792,3.072266549035662,20.375825133962124,74229.76651969434,THP_OFF,0
10,off,0.6679173899805425,10.495713189419325,6.18336226588837,2.0,18.66378398410863,76948.24200858141,THP_OFF,0
11,off,0.6472380752762248,10.126271244095227,4.935610083762507,3.5771734773243185,22.18825369743283,77653.0056194503,THP_OFF,0
12,off,0.6666693078183513,9.173604091011955,6.073634941034184,2.224265143874507,21.664673811510816,75602.7450754217,THP_OFF,0
13,off,0.6698705057752422,10.711196479145617,5.886833483429807,3.404950303424551,20.07365206463621,81717.80190969145,THP_OFF,0
14,off,0.6388578070336199,8.990520880242205,4.753542846088697,3.0028853822103807,19.586650703202913,73240.51737378578,THP_OFF,0
15,off,0.6537458187447502,9.15175682900178,5.260801619973103,3.3338667368134027,18.82489092400783,77403.00764749946,THP_OFF,0
