second,mode,score,dtlb_mpki,llc_mpki,pf_rate,work_ms,ops_per_sec,thp_state,switch_event
1,adaptive,0.6212554866640156,7.591921277490202,4.978360980228442,3.34520734727505,18.521065978916635,75695.02413044049,THP_OFF,0
2,adaptive,0.6582629582708865,9.291226380863648,5.34362193289898,3.7008614922618026,18.74434603417088,75384.33704316893,THP_OFF,0
3,adaptive,0.6075201772721266,7.517149593961367,4.778081056167932,2.736945186801435,17.0,73548.05121035375,THP_OFF,0
4,adaptive,0.669413041896372,9.451905210238877,5.953564577608769,3.086089118422904,18.001614615153834,76066.03601289145,THP_OFF,0
5,adaptive,0.6580186153752672,8.027836224647489,5.55209870621877,2.8824221579696996,19.926452417354902,74070.67087139025,THP_OFF,0
6,adaptive,0.6514754662650549,9.245808901033323,5.164417301290941,3.3547550599172204,19.802007593726653,73880.58571667169,THP_OFF,0
7,adaptive,0.5961872746534205,7.197876292897394,5.1451481835304635,2.6536952638607567,19.915304736385192,76626.50639135359,THP_OFF,0
8,adaptive,0.5733947803173446,7.072187112879421,4.244299699653297,3.7913389906572457,19.991414521333898,81952.75670075302,THP_OFF,0
9,adaptive,0.6469660509088347,8.299852816227244,5.165450266454182,2.674469137122024,21.687762219444604,78933.41916516067,THP_OFF,0
10,adaptive,0.6328426574923822,8.613162817386184,4.453089957429454,3.227311283496879,21.41571995954638,77407.53361124206,THP_OFF,0
11,adaptive,0.6480736649279215,8.683077332807592,5.148171031201517,2.9054083721825372,20.550535507418076,76838.87405646397,THP_OFF,0
12,adaptive,0.6412854675683564,8.81155310844132,4.895865547009577,2.833324333967532,20.08105781242069,78286.2033056904,THP_OFF,0
13,adaptive,0.5228130574616014,6.475989540245399,3.977172347291758,2.795160377095508,18.16568774601221,83957.21122697464,THP_ON,1
14,adaptive,0.3944252078110196,4.292897708511213,4.406181252956135,2.394685455774812,17.99198255870832,77609.64479744081,THP_ON,0
15,adaptive,0.42442419859317604,4.7471693943068765,4.549647835832325,2.09773733297822,19.1040806822041,83128.88339974625,THP_ON,0
